id,isResult,datetime,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,forecast_w,forecast_d,forecast_l,match_id,xCS_h,xCS_a
461,True,13/08/2016 15:30,91,Hull,HUL,75,Leicester,LEI,2,1,0.740018,2.45631,0.0538,0.1247,0.8215,461,0.022655035,0.452866817
462,True,13/08/2016 18:00,78,Crystal Palace,CRY,76,West Bromwich Albion,WBA,0,1,0.990062,0.684593,0.4295,0.3356,0.2349,462,0.490663752,0.331808631
463,True,13/08/2016 18:00,72,Everton,EVE,82,Tottenham,TOT,1,1,0.790063,1.12348,0.2313,0.3322,0.4365,463,0.239742748,0.399523871
464,True,13/08/2016 18:00,92,Burnley,BUR,84,Swansea,SWA,0,1,1.04903,1.72089,0.1626,0.2888,0.5486,464,0.087090557,0.24209688
465,True,13/08/2016 18:00,93,Middlesbrough,MID,85,Stoke,STO,1,1,1.80523,0.485626,0.7885,0.1624,0.0491,465,0.607399271,0.029648489
466,True,13/08/2016 18:00,74,Southampton,SOU,90,Watford,WAT,1,1,0.937328,0.180046,0.5425,0.3917,0.0658,466,0.829876386,0.380239615
467,True,13/08/2016 20:30,88,Manchester City,MCI,77,Sunderland,SUN,2,1,1.95479,1.09877,0.598,0.2506,0.1514,467,0.254263914,0.059109896
468,True,14/08/2016 16:30,73,Bournemouth,BOU,89,Manchester United,MUN,1,3,0.522847,1.91105,0.0548,0.159,0.7862,468,0.067902027,0.579835621
469,True,14/08/2016 19:00,83,Arsenal,ARS,87,Liverpool,LIV,3,4,1.18197,1.6591,0.2393,0.2859,0.4748,469,0.152282397,0.154131454
470,True,15/08/2016 23:00,80,Chelsea,CHE,81,West Ham,WHU,2,1,1.4603,0.445604,0.6858,0.2362,0.078,470,0.625696879,0.115960365
471,True,19/08/2016 23:00,89,Manchester United,MUN,74,Southampton,SOU,2,0,1.36553,0.613233,0.6019,0.2712,0.1269,471,0.531215245,0.127043072
472,True,20/08/2016 15:30,85,Stoke,STO,88,Manchester City,MCI,1,4,1.31066,2.17198,0.1427,0.2554,0.6019,472,0.039306433,0.12655544
473,True,20/08/2016 18:00,92,Burnley,BUR,87,Liverpool,LIV,2,0,0.197536,0.939025,0.0721,0.373,0.5549,473,0.380781096,0.813347969
474,True,20/08/2016 18:00,84,Swansea,SWA,91,Hull,HUL,0,2,1.14134,2.18655,0.135,0.2041,0.6609,474,0.010156044,0.306616364
475,True,20/08/2016 18:00,82,Tottenham,TOT,78,Crystal Palace,CRY,1,0,2.25623,0.357943,0.8706,0.1053,0.0241,475,0.690859497,0.045743592
476,True,20/08/2016 18:00,90,Watford,WAT,80,Chelsea,CHE,1,2,0.804549,1.75595,0.1078,0.2467,0.6455,476,0.104618726,0.298780178
477,True,20/08/2016 18:00,76,West Bromwich Albion,WBA,72,Everton,EVE,1,2,2.01885,1.83897,0.3984,0.2562,0.3454,477,0.111390393,0.056236948
478,True,20/08/2016 20:30,75,Leicester,LEI,83,Arsenal,ARS,0,0,0.553693,0.521509,0.2918,0.4486,0.2596,478,0.581508402,0.556061059
479,True,21/08/2016 16:30,77,Sunderland,SUN,93,Middlesbrough,MID,1,2,1.4645,0.854908,0.5193,0.2957,0.185,479,0.319896258,0.178132378
480,True,21/08/2016 19:00,81,West Ham,WHU,73,Bournemouth,BOU,1,0,1.69288,0.39341,0.7472,0.1962,0.0566,480,0.661106238,0.116770869
481,True,27/08/2016 15:30,82,Tottenham,TOT,87,Liverpool,LIV,1,1,0.590511,1.92569,0.0672,0.1704,0.7624,481,0.0609496,0.542599626
482,True,27/08/2016 18:00,90,Watford,WAT,83,Arsenal,ARS,1,3,1.07775,2.03271,0.1375,0.2184,0.6441,482,0.053132146,0.294783114
483,True,27/08/2016 18:00,75,Leicester,LEI,84,Swansea,SWA,2,1,2.47977,0.32818,0.9129,0.0717,0.0154,483,0.71359554,0.019008225
484,True,27/08/2016 18:00,74,Southampton,SOU,77,Sunderland,SUN,1,1,0.613743,1.39142,0.1211,0.2572,0.6217,484,0.117325817,0.53147989
485,True,27/08/2016 18:00,80,Chelsea,CHE,92,Burnley,BUR,3,0,2.65838,0.18449,0.9265,0.0623,0.0112,485,0.828541091,0.037765086
486,True,27/08/2016 18:00,78,Crystal Palace,CRY,73,Bournemouth,BOU,1,1,2.659,0.974014,0.7804,0.1446,0.075,486,0.332481036,0.026633529
487,True,27/08/2016 18:00,72,Everton,EVE,85,Stoke,STO,1,0,2.31835,0.187415,0.9114,0.0778,0.0108,487,0.826519461,0.041864579
488,True,27/08/2016 20:30,91,Hull,HUL,89,Manchester United,MUN,0,1,0.268815,2.47208,0.0115,0.0622,0.9263,488,0.021808259,0.75957018
489,True,28/08/2016 16:30,76,West Bromwich Albion,WBA,93,Middlesbrough,MID,0,0,0.696845,0.396816,0.383,0.4435,0.1735,489,0.661350398,0.483810042
490,True,28/08/2016 19:00,88,Manchester City,MCI,81,West Ham,WHU,3,1,3.21624,1.08385,0.8305,0.1137,0.0558,490,0.251681057,0.019183647
491,True,10/09/2016 15:30,89,Manchester United,MUN,88,Manchester City,MCI,1,2,1.01013,1.88688,0.1589,0.2351,0.606,491,0.085802593,0.325748903
492,True,10/09/2016 18:00,93,Middlesbrough,MID,78,Crystal Palace,CRY,1,2,0.611959,1.12437,0.1752,0.317,0.5078,492,0.257239554,0.511651465
493,True,10/09/2016 18:00,85,Stoke,STO,82,Tottenham,TOT,0,4,1.01771,2.77025,0.0711,0.1311,0.7978,493,0.011960529,0.342560389
494,True,10/09/2016 18:00,83,Arsenal,ARS,74,Southampton,SOU,2,1,1.89219,1.17522,0.5518,0.2623,0.1859,494,0.254281616,0.069876397
495,True,10/09/2016 18:00,73,Bournemouth,BOU,76,West Bromwich Albion,WBA,1,0,0.986511,1.48347,0.2038,0.287,0.5092,495,0.140330678,0.322339897
496,True,10/09/2016 18:00,92,Burnley,BUR,91,Hull,HUL,1,1,0.453149,0.907116,0.1647,0.3618,0.4735,496,0.356927501,0.62766782
497,True,10/09/2016 18:00,81,West Ham,WHU,90,Watford,WAT,2,4,1.32216,1.85479,0.2437,0.2487,0.5076,497,0.105569739,0.181216956
498,True,10/09/2016 20:30,87,Liverpool,LIV,75,Leicester,LEI,4,1,2.76916,1.22508,0.7347,0.1643,0.101,498,0.219758767,0.026599385
499,True,11/09/2016 19:00,84,Swansea,SWA,80,Chelsea,CHE,2,2,1.2304,2.19035,0.1643,0.2464,0.5893,499,0.083926457,0.137761229
500,True,12/09/2016 23:00,77,Sunderland,SUN,72,Everton,EVE,0,3,1.0404,2.84526,0.0753,0.141,0.7837,500,0.029058002,0.302971952
501,True,16/09/2016 23:00,80,Chelsea,CHE,87,Liverpool,LIV,1,2,1.16415,1.41642,0.272,0.3052,0.4228,501,0.176641002,0.220818462
502,True,17/09/2016 18:00,91,Hull,HUL,83,Arsenal,ARS,1,4,0.969693,3.63453,0.0142,0.0649,0.9209,502,0.007312941,0.192677296
503,True,17/09/2016 18:00,75,Leicester,LEI,92,Burnley,BUR,3,0,1.98503,0.464523,0.8043,0.155,0.0407,503,0.588819532,0.068504825
504,True,17/09/2016 18:00,88,Manchester City,MCI,73,Bournemouth,BOU,4,0,3.38733,0.389672,0.971,0.0252,0.0038,504,0.66197646,0.001293752
505,True,17/09/2016 18:00,76,West Bromwich Albion,WBA,81,West Ham,WHU,4,2,1.94229,2.37422,0.2819,0.2606,0.4575,505,0.040329184,0.049459222
506,True,17/09/2016 20:30,72,Everton,EVE,93,Middlesbrough,MID,3,1,1.17467,0.178081,0.6985,0.2628,0.0387,506,0.833563508,0.22448739
507,True,18/09/2016 15:00,90,Watford,WAT,89,Manchester United,MUN,3,1,1.74506,1.41359,0.4477,0.2906,0.2617,507,0.1660761,0.075707947
508,True,18/09/2016 17:15,78,Crystal Palace,CRY,85,Stoke,STO,4,1,1.31366,1.20308,0.3724,0.3114,0.3162,508,0.239572832,0.158026291
509,True,18/09/2016 17:15,74,Southampton,SOU,84,Swansea,SWA,1,0,2.15218,0.490661,0.7973,0.1491,0.0536,509,0.599055906,0.080664777
510,True,18/09/2016 19:30,82,Tottenham,TOT,77,Sunderland,SUN,1,0,2.52591,0.960821,0.7549,0.1649,0.0802,510,0.273047894,0.050116814
515,True,24/09/2016 15:00,84,Swansea,SWA,88,Manchester City,MCI,1,3,1.11096,2.57704,0.0867,0.1701,0.7432,515,0.028236384,0.248260068
511,True,24/09/2016 15:30,89,Manchester United,MUN,75,Leicester,LEI,4,1,2.45604,0.286966,0.9268,0.0632,0.01,511,0.744221738,0.016016087
512,True,24/09/2016 18:00,93,Middlesbrough,MID,82,Tottenham,TOT,1,2,0.361508,1.4158,0.0804,0.2526,0.667,512,0.204677794,0.685802528
513,True,24/09/2016 18:00,85,Stoke,STO,76,West Bromwich Albion,WBA,1,1,0.979673,0.270862,0.548,0.3567,0.0953,513,0.757530599,0.339883732
514,True,24/09/2016 18:00,77,Sunderland,SUN,78,Crystal Palace,CRY,2,3,1.51457,1.7887,0.3215,0.2471,0.4314,514,0.127274743,0.161970857
516,True,24/09/2016 18:00,87,Liverpool,LIV,91,Hull,HUL,5,1,4.64913,0.157549,0.9966,0.0031,0.0003,516,0.847273152,0.001142207
517,True,24/09/2016 18:00,73,Bournemouth,BOU,72,Everton,EVE,1,0,0.693594,1.15724,0.1971,0.3117,0.4912,517,0.240514537,0.484412851
518,True,24/09/2016 20:30,83,Arsenal,ARS,80,Chelsea,CHE,3,0,1.66224,0.613553,0.6565,0.2356,0.1079,518,0.508695122,0.136968779
519,True,25/09/2016 19:00,81,West Ham,WHU,74,Southampton,SOU,0,3,0.693818,2.97877,0.0297,0.0847,0.8856,519,0.015729174,0.480841129
520,True,26/09/2016 23:00,92,Burnley,BUR,90,Watford,WAT,2,0,0.569734,0.776105,0.2333,0.3913,0.3754,520,0.426387954,0.553744514
521,True,30/09/2016 23:00,72,Everton,EVE,78,Crystal Palace,CRY,1,1,1.1542,0.47692,0.5569,0.307,0.1361,521,0.608190807,0.258449354
522,True,01/10/2016 15:30,84,Swansea,SWA,87,Liverpool,LIV,1,2,2.65842,2.02239,0.5431,0.2294,0.2275,522,0.061664655,0.004672448
523,True,01/10/2016 18:00,77,Sunderland,SUN,76,West Bromwich Albion,WBA,1,1,1.19268,0.88211,0.4588,0.3018,0.2394,523,0.398746027,0.225390528
524,True,01/10/2016 18:00,91,Hull,HUL,80,Chelsea,CHE,0,2,0.27266,1.99155,0.0297,0.1375,0.8328,524,0.090030404,0.754019904
525,True,01/10/2016 18:00,90,Watford,WAT,73,Bournemouth,BOU,2,2,1.23419,1.35487,0.326,0.2881,0.3859,525,0.195064878,0.247125051
526,True,01/10/2016 18:00,81,West Ham,WHU,93,Middlesbrough,MID,1,1,0.883385,0.852603,0.3342,0.3449,0.3209,526,0.393627349,0.398346803
527,True,02/10/2016 15:00,89,Manchester United,MUN,85,Stoke,STO,1,1,2.80988,1.20043,0.7652,0.1639,0.0709,527,0.096450817,0.031468152
528,True,02/10/2016 17:15,75,Leicester,LEI,74,Southampton,SOU,0,0,0.446309,0.920963,0.1629,0.363,0.4741,528,0.36279376,0.628879645
529,True,02/10/2016 17:15,82,Tottenham,TOT,88,Manchester City,MCI,2,0,1.69975,0.909513,0.5923,0.2545,0.1532,529,0.370382957,0.08281617
530,True,02/10/2016 19:30,92,Burnley,BUR,83,Arsenal,ARS,0,1,0.608783,1.85433,0.0608,0.2093,0.7299,530,0.039059086,0.507026611
531,True,15/10/2016 15:30,80,Chelsea,CHE,75,Leicester,LEI,3,0,3.11573,0.182549,0.9675,0.0292,0.0033,531,0.828976549,0.013621
532,True,15/10/2016 18:00,83,Arsenal,ARS,84,Swansea,SWA,3,2,3.50519,1.74979,0.7551,0.1347,0.1102,532,0.131105473,0.008580658
533,True,15/10/2016 18:00,73,Bournemouth,BOU,91,Hull,HUL,6,1,2.92532,0.388589,0.924,0.0631,0.0129,533,0.670915216,0.019574804
534,True,15/10/2016 18:00,88,Manchester City,MCI,72,Everton,EVE,1,1,2.69208,0.144498,0.9671,0.0307,0.0022,534,0.861230191,0.015415495
535,True,15/10/2016 18:00,85,Stoke,STO,77,Sunderland,SUN,2,0,2.29543,0.587572,0.814,0.1357,0.0503,535,0.542408308,0.044988082
536,True,15/10/2016 18:00,76,West Bromwich Albion,WBA,82,Tottenham,TOT,1,1,1.30365,1.32318,0.3671,0.296,0.3369,536,0.241666449,0.148599406
537,True,15/10/2016 20:30,78,Crystal Palace,CRY,81,West Ham,WHU,0,1,1.94599,0.874219,0.6821,0.2098,0.1081,537,0.375511374,0.054079868
538,True,16/10/2016 16:30,93,Middlesbrough,MID,90,Watford,WAT,0,1,0.528576,0.0893749,0.3998,0.5508,0.0494,538,0.913236902,0.577484234
539,True,16/10/2016 19:00,74,Southampton,SOU,92,Burnley,BUR,3,1,4.21181,1.03126,0.9503,0.0391,0.0106,539,0.17988203,0.003378776
540,True,17/10/2016 23:00,87,Liverpool,LIV,89,Manchester United,MUN,0,0,0.270441,0.537762,0.1417,0.494,0.3643,540,0.529203758,0.757386552
541,True,22/10/2016 15:30,73,Bournemouth,BOU,82,Tottenham,TOT,0,0,0.523371,0.74529,0.2292,0.4073,0.3635,541,0.463033993,0.576571455
