element_in,element_in_cost,element_out,element_out_cost,entry,event,time
251,120,233,131,4364545,37,2022-05-15T06:33:08.665717Z
588,45,305,42,4364545,37,2022-05-14T09:02:32.620878Z
112,53,559,51,4364545,37,2022-05-14T08:59:09.678022Z
675,49,256,67,4364545,37,2022-05-14T08:59:09.677585Z
245,37,491,41,4364545,37,2022-05-14T08:59:09.677299Z
168,50,142,63,4364545,37,2022-05-14T08:59:09.677027Z
163,42,22,66,4364545,37,2022-05-14T08:59:09.676735Z
533,44,518,53,4364545,37,2022-05-14T08:59:09.676440Z
154,69,701,63,4364545,37,2022-05-14T08:59:09.676156Z
359,110,138,77,4364545,37,2022-05-14T08:59:09.675768Z
681,71,51,47,4364545,37,2022-05-14T08:59:09.675473Z
54,39,376,41,4364545,37,2022-05-14T08:59:09.675144Z
180,75,430,75,4364545,36,2022-05-06T14:21:54.499437Z
138,77,196,64,4364545,34,2022-04-23T07:05:56.258388Z
559,51,475,53,4364545,33,2022-04-15T21:47:22.835904Z
305,44,360,48,4364545,33,2022-04-15T21:44:07.387230Z
142,63,431,50,4364545,32,2022-04-08T14:37:09.779596Z
701,63,359,108,4364545,31,2022-04-01T14:13:42.079681Z
357,125,450,59,4364545,31,2022-04-01T14:13:42.069961Z
44,52,168,51,4364545,30,2022-03-18T18:12:38.741395Z
431,51,237,80,4364545,30,2022-03-18T18:09:34.167290Z
360,48,142,62,4364545,29,2022-03-12T01:59:14.702891Z
142,62,127,61,4364545,29,2022-03-07T10:01:32.032307Z
22,65,341,66,4364545,29,2022-03-07T09:58:41.903483Z
127,61,142,62,4364545,28,2022-03-05T09:12:50.159780Z
142,62,127,61,4364545,28,2022-03-05T09:10:10.062408Z
168,51,16,49,4364545,28,2022-03-05T09:04:35.137621Z
51,48,681,73,4364545,28,2022-03-05T09:04:35.137344Z
518,55,700,65,4364545,28,2022-03-05T09:04:35.137018Z
430,75,413,76,4364545,28,2022-03-05T09:04:35.136721Z
341,66,240,83,4364545,28,2022-03-05T09:04:35.136450Z
359,108,420,68,4364545,28,2022-03-05T09:04:35.136165Z
127,61,23,53,4364545,28,2022-03-05T09:04:35.135824Z
475,53,69,45,4364545,28,2022-03-05T09:04:35.135464Z
485,89,341,65,4364545,27,2022-02-25T18:00:02.681002Z
341,65,196,65,4364545,27,2022-02-25T17:17:42.029452Z
254,87,420,68,4364545,27,2022-02-25T17:17:42.029003Z
271,43,233,130,4364545,27,2022-02-25T17:17:42.028645Z
208,38,23,53,4364545,27,2022-02-25T17:17:42.028355Z
357,122,413,76,4364545,27,2022-02-25T17:17:42.028025Z
255,107,240,83,4364545,27,2022-02-25T17:17:42.027730Z
359,108,681,72,4364545,27,2022-02-25T17:17:42.027440Z
106,48,16,49,4364545,27,2022-02-25T17:17:42.027173Z
572,39,376,40,4364545,27,2022-02-25T17:17:42.026901Z
112,54,69,45,4364545,27,2022-02-25T17:17:42.026613Z
245,37,237,80,4364545,27,2022-02-25T17:17:42.026257Z
518,55,450,59,4364545,27,2022-02-25T13:21:52.593813Z
23,53,370,53,4364545,26,2022-02-18T20:44:54.782332Z
700,65,579,125,4364545,26,2022-02-14T18:49:49.848241Z
233,130,21,58,4364545,26,2022-02-14T18:49:49.837145Z
681,72,265,80,4364545,25,2022-02-11T17:52:03.348089Z
196,66,138,77,4364545,23,2022-01-21T14:09:32.979723Z
579,125,430,74,4364545,22,2022-01-14T18:24:22.871228Z
240,83,233,126,4364545,22,2022-01-14T18:24:22.863880Z
420,66,196,65,4364545,21,2021-12-31T21:17:17.395724Z
370,53,142,63,4364545,21,2021-12-31T12:32:15.228027Z
138,77,261,76,4364545,20,2021-12-28T11:39:08.596873Z
16,48,56,41,4364545,19,2021-12-26T12:37:12.689525Z
265,80,70,44,4364545,18,2021-12-17T12:31:33.599604Z
450,58,78,66,4364545,17,2021-12-13T14:22:46.366756Z
261,77,240,79,4364545,17,2021-12-11T22:28:51.435304Z
240,79,265,81,4364545,15,2021-12-02T10:56:14.009924Z
142,63,127,58,4364545,14,2021-11-29T16:13:15.218066Z
78,67,205,106,4364545,13,2021-11-26T15:11:47.050849Z
21,59,482,56,4364545,13,2021-11-26T15:11:47.045147Z
265,82,419,62,4364545,11,2021-11-05T12:03:20.064997Z
430,77,189,77,4364545,11,2021-11-05T12:00:15.314794Z
205,108,529,115,4364545,10,2021-10-29T12:00:01.393539Z
482,57,268,69,4364545,9,2021-10-18T22:35:07.355679Z
256,62,370,51,4364545,8,2021-10-15T17:11:52.741230Z
529,117,579,126,4364545,7,2021-09-30T10:24:14.828282Z
127,56,259,55,4364545,6,2021-09-24T15:06:10.456125Z
189,79,177,81,4364545,5,2021-09-17T11:00:16.457613Z
579,125,529,115,4364545,4,2021-09-11T09:38:45.855127Z
177,82,263,85,4364545,4,2021-09-11T09:38:45.854851Z
233,125,484,56,4364545,4,2021-09-11T09:38:45.854533Z
196,65,289,76,4364545,4,2021-09-11T09:38:45.854258Z
237,75,76,45,4364545,4,2021-09-11T09:38:45.853976Z
69,45,80,45,4364545,4,2021-09-11T09:38:45.853607Z
529,115,180,75,4364545,4,2021-09-10T19:00:25.790020Z
370,51,418,50,4364545,4,2021-08-31T22:07:44.727331Z
263,85,337,80,4364545,4,2021-08-31T22:06:26.390831Z
289,76,277,120,4364545,4,2021-08-31T22:06:26.390468Z
484,56,233,125,4364545,4,2021-08-31T22:06:26.390118Z
268,71,43,64,4364545,4,2021-08-31T22:06:26.389840Z
76,45,275,55,4364545,4,2021-08-31T22:06:26.389506Z
56,41,245,41,4364545,4,2021-08-31T22:06:26.389143Z
259,55,237,75,4364545,4,2021-08-31T22:06:26.388786Z
376,40,200,50,4364545,4,2021-08-31T22:06:26.388429Z
80,45,94,40,4364545,4,2021-08-31T22:06:26.388060Z
491,40,67,45,4364545,3,2021-08-23T20:49:05.953275Z
413,76,213,74,4364545,3,2021-08-23T20:49:05.948800Z
419,60,267,60,4364545,2,2021-08-16T07:58:54.140915Z
